Open,High,Low,Close
4608.0,4608.0,4588.4,4588.4
4612.9,4616.3,4612.9,4616.3
4610.3,4635.0,4608.2,4626.3
4578.6,4617.1,4578.6,4589.2
4579.1,4620.0,4577.8,4604.3
4473.0,4490.3,4473.0,4490.3
4460.2,4461.3,4418.0,4449.7
4450.0,4450.0,4449.3,4449.3
4449.7,4482.2,4449.0,4482.2
4386.7,4443.5,4384.8,4436.9
4350.6,4350.6,4314.4,4314.4
4333.5,4363.8,4285.0,4325.6
4346.4,4403.6,4338.0,4370.1
4371.5,4379.0,4325.1,4325.1
4512.0,4556.3,4502.0,4529.1
4500.7,4503.4,4468.4,4480.6
4503.3,4503.8,4450.4,4482.8
4371.1,4447.6,4371.1,4444.6
4350.1,4361.4,4350.1,4361.4
4331.0,4348.1,4328.2,4339.5
4308.5,4351.4,4308.5,4347.5
4270.5,4321.4,4270.5,4304.5
4308.3,4349.2,4292.9,4306.7
4276.4,4355.0,4260.0,4300.1
4224.0,4286.9,4214.3,4285.5
4209.0,4234.5,4183.6,4196.4
4190.7,4219.7,4177.7,4206.7
4205.5,4215.8,4175.5,4187.2
4204.1,4255.7,4194.5,4212.9
4211.0,4211.8,4175.0,4211.8
4215.7,4234.1,4195.7,4199.3
4230.5,4230.5,4167.0,4186.6
4218.5,4262.1,4214.9,4239.3
4163.4,4223.9,4140.0,4218.3
4128.6,4171.0,4127.5,4165.2
4139.2,4139.2,4139.2,4139.2
4060.5,4091.9,4060.5,4091.9
4031.8,4085.2,4031.8,4076.7
4045.0,4090.4,4040.2,4056.5
4086.1,4122.7,4072.0,4077.7
4037.4,4063.4,4035.6,4061.3
4070.0,4099.5,4019.4,4068.3
4197.7,4197.9,4047.0,4087.6
4228.7,4228.7,4163.7,4186.9
4115.6,4204.4,4102.9,4204.4
4140.1,4140.1,4106.8,4106.8
4060.0,4111.8,4060.0,4111.8
3980.8,3999.4,3980.8,3999.4
4004.0,4007.5,3979.9,3979.9
3929.9,3983.5,3929.9,3980.3
3994.2,3995.4,3927.4,3947.7
3976.2,4020.0,3959.0,4000.3
4034.5,4034.5,3976.6,3982.2
3960.0,4027.2,3913.7,4001.3
3983.7,3983.7,3983.7,3983.7
3929.7,3966.2,3923.6,3966.2
4060.0,4078.6,3971.3,4001.9
4117.5,4120.6,4074.9,4118.4
4078.4,4136.8,4070.7,4125.5
4109.7,4148.5,4006.0,4044.4
4332.7,4332.7,4087.7,4087.7
4244.1,4356.6,4214.6,4336.4
4354.7,4358.0,4182.2,4189.9
4198.8,4307.0,4196.6,4280.2
4145.0,4210.6,4145.0,4176.9
4131.7,4160.1,4085.8,4138.7
4016.0,4111.0,4016.0,4108.6
3957.0,4012.0,3945.5,3975.9
4011.2,4046.2,3940.0,3946.3
3987.2,4049.2,3987.2,4043.3
3959.4,3981.5,3940.0,3976.6
3931.3,3960.0,3926.8,3948.5
3855.2,3886.8,3853.7,3880.8
3856.2,3888.6,3823.7,3839.7
3863.5,3891.9,3853.3,3867.5
3827.5,3865.5,3793.4,3840.8
3754.8,3827.6,3754.8,3820.9
3775.3,3775.3,3775.3,3775.3
3742.8,3756.0,3724.7,3736.9
3769.8,3772.5,3732.1,3732.1
3747.0,3786.0,3740.0,3780.6
3688.2,3748.2,3688.0,3740.7
3659.0,3685.9,3658.2,3671.5
3654.6,3667.4,3637.0,3643.7
3669.0,3685.2,3661.6,3681.8
3681.4,3698.6,3681.4,3688.9
3640.0,3686.4,3635.1,3682.2
3655.5,3656.8,3643.0,3649.4
3632.9,3636.9,3618.4,3636.9
3625.0,3655.4,3620.8,3643.6
3647.1,3670.4,3627.8,3643.3
3594.5,3641.0,3590.0,3638.1
3567.8,3613.2,3567.8,3613.2
3549.9,3573.6,3549.9,3565.8
3554.8,3593.7,3553.2,3593.2
3485.7,3559.2,3485.7,3549.4
3432.5,3475.6,3426.6,3473.7
3409.0,3434.6,3400.0,3431.8
3397.0,3404.6,3382.0,3404.6
3378.9,3396.5,3371.1,3388.6
3366.0,3378.0,3366.0,3373.8
3349.4,3377.7,3349.4,3374.4
3349.4,3349.4,3326.5,3336.9
3310.6,3343.5,3310.1,3343.4
3330.2,3343.5,3313.4,3313.4
